gamma,beta,lambda_1,lambda_2,lambda_3,n,mean_delta,std_delta,lcb,t_stat,p_value,caa_sharpe_mean,aa_sharpe_mean,p_fdr
1.5441591888666153,4.47731604790315,5.847496006265282,71.71585463639349,7.92003514310345,40.0,0.0981171691297109,0.09474602760674533,0.061776458117610844,6.54958819604924,8.951532764132599e-08,3.0069980324878554,2.9088808633581444,2.6340142386413165e-07
19.86471827980131,4.281857856083661,9.784609976876528,159.42801123019308,8.599829587806015,40.0,0.11379604340973422,0.1397714137305666,0.060185431097650614,5.149188611397111,7.813469783228123e-06,2.8589073086296266,2.7451112652198923,1.8184075131876358e-05
12.611451828852296,2.3317633042111994,1.294186241272837,154.13584045600146,10.510291299410163,40.0,0.09976420890219245,0.12171664119940839,0.05307867078601435,5.18387832570766,6.999756545866917e-06,3.6133874775153316,3.5136232686131392,1.63647276323464e-05
2.883135190233588,3.7380906144157056,5.800848031230271,87.59758612699807,5.697097507771104,40.0,0.10942566649805299,0.15098086667125127,0.051515565329170544,4.583817118619281,4.611302989204396e-05,2.89623451803905,2.786808851540997,9.186720352033662e-05
13.566547208465636,1.274752121884376,9.387243678513915,23.98844765778631,4.978313613217323,40.0,0.0783315843368734,0.07204495080464149,0.05069808029236141,6.876435238488126,3.1685493322353036e-08,2.6463249429060958,2.5679933585692227,9.892056451856558e-08
1.9112858148291707,3.609482197556645,8.475915540568531,115.68172023911029,9.42128543695435,40.0,0.09334785214888644,0.11313908038861789,0.04995231643689842,5.218211540365704,6.27731675846818e-06,2.9256153256068536,2.832267473457967,1.4810996222745198e-05
12.296644638292491,1.8633079817518594,7.0048732832074165,13.801413213834167,16.08689681822434,40.0,0.06869030960233463,0.049496370851365545,0.04970552095533125,8.777121546054506,8.983033916644559e-11,3.136897114045726,3.0682068044433914,3.9310370643777906e-10
18.809828778728843,1.7086862285621467,4.93895605225116,10.10788003820926,2.2464068342000245,40.0,0.06772085587925344,0.049034880827373915,0.048913075978901224,8.73468625031895,1.0197470657758611e-10,2.5545354645357072,2.4868146086564535,4.3874831737583265e-10
12.332697171717882,4.763247360382229,8.233658874966205,194.09411059133708,7.620800352003425,40.0,0.1264074226097633,0.20306262310186446,0.04852088435685528,3.937064955551118,0.0003303976287133808,2.881294364988462,2.754886942378699,0.0005873735621571214
9.872541522607207,4.882598054036498,1.4680829578079284,153.07147953100502,9.190200274437665,40.0,0.09712320468080486,0.1313580576318314,0.04673961254412182,4.6762344995522325,3.459058126950844e-05,3.5075847364467547,3.41046153176595,7.170193364367741e-05
18.199628272093832,1.2124502158723773,8.95947846453637,116.70649955421686,10.254840995464473,40.0,0.08171984085179519,0.09658384720975792,0.04467421721409501,5.351222478369838,4.113075463058786e-06,2.9360239770479017,2.854304136196107,9.840629145262142e-06
2.620101752690971,1.7700194719247522,7.831808190513402,160.01563624851406,9.518682613503188,40.0,0.1001937164966094,0.15613471401040996,0.04030680974037045,4.058551019542614,0.00022978202978565906,2.9317894910158935,2.831595774519284,0.00041719290514275685
16.184171084314585,0.8939907056279481,0.5695246309041977,94.40957377571613,8.84629842750728,40.0,0.08901160215753609,0.13015115835049504,0.03909092734954359,4.325422909269117,0.00010228097683028866,3.536402335623035,3.4473907334654994,0.0001954024631981634
8.316224587149918,4.704951734002679,4.145558091718703,50.16825745720416,5.903815484046936,40.0,0.07499111400457195,0.0955033591099184,0.0383599215233025,4.966165101163855,1.39346458092679e-05,2.9941150376249785,2.9191239236204063,3.1019733279761587e-05
