combo_id,distance,dist_return,dist_risk,mean_d_return,mean_d_risk,caa_return_mean,aa_return_mean,caa_risk_mean,aa_risk_mean,caa_sharpe_mean,aa_sharpe_mean,n,gamma,beta,lambda_1,lambda_2,lambda_3
276,0.14261276506719758,0.10503032272383467,0.09647296029789296,0.053352569695631215,0.012836769272274789,0.953327532917503,0.899974963221872,0.08991637546104107,0.07707960618876629,3.179919728092652,3.2458946526365273,40,1.5939423814415932,3.1598699611611667,4.623895453941077,56.23946759477258,14.279092654585838
111,0.14565688522226589,0.116539389326653,0.08737561987203946,0.004951106846071848,0.002697639572588787,0.8675434451537356,0.8625923383076637,0.06756725493154157,0.06486961535895279,3.3425523116011946,3.390745122384972,40,9.776694317348301,0.6420875202864409,7.958331854641438,60.257112939842045,31.001468837819996
109,0.145701077016222,0.10847367344570645,0.09727417957958472,0.028736337221703122,0.008783137286194185,0.9550843478230183,0.9263480106013151,0.09039345583463958,0.08161031854844539,3.1801533238199298,3.245876758559265,40,19.90057361871004,2.354193030484021,6.082334857713431,28.881897791288793,18.62520569143817
219,0.14694333000559887,0.09367439210489104,0.11321417975197921,0.034155078973807304,0.006538911986269508,1.0090152333479085,0.9748601543741012,0.10831970398362256,0.10178079199735306,3.066473531335522,3.0592023384501785,40,2.918960695154965,0.4382825535722077,9.5246869944036,106.30033103562891,20.402190032694488
68,0.1471099844528528,0.1295460916275779,0.06970765861609317,-9.457040953985695e-05,0.0005885102411509401,0.7461966635785455,0.7462912339880854,0.04466430942795657,0.04407579918680563,3.5318384772507416,3.5617771610772175,40,2.6360637675970793,3.8802573010325436,4.549448528233915,90.05950277019292,24.28751457259059
507,0.14804735821438422,0.11195394459419325,0.09687277514378595,0.04884831322699189,0.011895750520577921,0.9362264299588127,0.8873781167318207,0.08524059693263589,0.07334484641205796,3.207424412130257,3.2825669739322167,40,2.251630650833249,1.1246826596558095,8.879963188897818,100.17028780281544,28.85556140244007
62,0.14868885903602816,0.12083840147292943,0.08663981492883616,0.01423320508626788,0.003045920866415479,0.8526462143396139,0.8384130092533459,0.06377128460643311,0.06072536374001765,3.378588941481348,3.4061564415126404,40,13.454712772741914,3.234121706243605,9.69415095737204,112.93211217876524,39.38614080343395
261,0.14890493537274058,0.11397536328152905,0.09582429933583403,0.03237832799968875,0.008526662792618628,0.8982199709290913,0.8658416429294025,0.07555028368604613,0.0670236208934275,3.2715287852183237,3.348232159172113,40,17.614693082869053,2.5400058724917476,7.177042006701231,77.06136282067746,25.972625145874918
317,0.1489978177486397,0.11534328300325647,0.09432007612320686,0.009237875033170065,0.0039269133810238485,0.9093985446563149,0.9001606696231448,0.0773158824055861,0.07338896902456225,3.274716046078241,3.325117775523219,40,17.672132356092334,1.0072539671324194,6.181896027270704,18.29657564498484,21.080381159018724
380,0.1497629898140817,0.08979958244575871,0.11985402834540074,0.017119520126247754,0.00045384632096063285,1.0093685186583063,0.9922489985320585,0.10801652115377651,0.10756267483281587,3.0716499472045387,3.029443704472123,40,3.98589176684618,4.374499195907265,8.211580872442573,77.57910369616002,17.195500668603927
456,0.1502662181046497,0.11533077892128409,0.09632625673659312,0.03430325425568516,0.007721342283511248,0.9073184272100402,0.873015172954355,0.07793696306760041,0.07021562078408915,3.2508214103147863,3.3011922598678836,40,6.316208593547344,4.132406398653984,9.120224995072931,133.0005949884653,31.50361755806953
377,0.15418904684186607,0.12270792921488725,0.09336501632730214,0.005195491200338603,0.003291550323614363,0.8846355329718566,0.8794400417715179,0.07118189415000409,0.06789034382638973,3.3189960418591395,3.3784635460662145,40,12.439142485149205,0.9386017222888768,9.312566121388226,27.373958179727197,34.09710976853967
