combo_id,run,lambda_1,lambda_2,lambda_3,caa_risk,caa_return,caa_sharpe,aa_risk,aa_return,aa_sharpe,aa_raw_sum,caa_upper_raw_sum,caa_inner_raw_sum_min,caa_inner_raw_sum_mean,caa_inner_raw_sum_max,caa_n_communities
10,20,18.561705262905477,58.42729279095935,16.84060855518808,0.13312552397567223,1.0557651521487275,2.8935877553985514,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.04375,1.125,5
10,21,18.561705262905477,58.42729279095935,16.84060855518808,0.14412371699844875,1.0550760997139998,2.77917604748822,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.04375,1.109375,5
10,22,18.561705262905477,58.42729279095935,16.84060855518808,0.11660232127702598,1.009829369396593,2.9572932990691925,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,0.984375,1.040625,1.125,5
10,23,18.561705262905477,58.42729279095935,16.84060855518808,0.11418351125125255,1.007283295736142,2.980917351248573,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,1.015625,1.06640625,1.125,4
10,24,18.561705262905477,58.42729279095935,16.84060855518808,0.12932683524710997,1.0376477005325357,2.885397179614358,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.09375,1.0,1.053125,1.125,5
10,25,18.561705262905477,58.42729279095935,16.84060855518808,0.11688625408500682,1.0101774937081134,2.954717524621982,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,0.984375,1.05,1.125,5
10,26,18.561705262905477,58.42729279095935,16.84060855518808,0.13102638446563344,1.0493412629891823,2.8989276207974055,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,1.046875,1.08203125,1.125,4
10,27,18.561705262905477,58.42729279095935,16.84060855518808,0.12394872956477491,1.0371412973421679,2.9458924519452783,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,1.0625,1.0885416666666667,1.125,3
10,28,18.561705262905477,58.42729279095935,16.84060855518808,0.129995192619767,1.0492611779813832,2.9101807161066016,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.05859375,1.125,4
10,29,18.561705262905477,58.42729279095935,16.84060855518808,0.12047624569634785,1.0144031468785477,2.92253603714937,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,0.984375,1.04375,1.125,5
10,30,18.561705262905477,58.42729279095935,16.84060855518808,0.13188573256673308,1.0506262708792453,2.8930060916886005,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.05,1.125,5
10,31,18.561705262905477,58.42729279095935,16.84060855518808,0.13841144489570933,1.0547574638790331,2.8350884071778304,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.059375,1.109375,5
10,32,18.561705262905477,58.42729279095935,16.84060855518808,0.127253986624437,1.043693443992985,2.925750291788551,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.05625,1.125,5
10,33,18.561705262905477,58.42729279095935,16.84060855518808,0.144270418817974,1.0542655251779218,2.775628632618475,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.0546875,1.109375,4
10,34,18.561705262905477,58.42729279095935,16.84060855518808,0.13824618555066684,1.0444151013005774,2.808966527819712,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.053125,1.09375,5
10,35,18.561705262905477,58.42729279095935,16.84060855518808,0.11553061811178754,1.0089428114925525,2.968369782989115,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,1.0,1.05625,1.125,5
10,36,18.561705262905477,58.42729279095935,16.84060855518808,0.11611994211932741,1.0098560657197895,2.963507789286788,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,0.984375,1.04375,1.125,5
10,37,18.561705262905477,58.42729279095935,16.84060855518808,0.1176112392898522,1.0120341386012135,2.9510104644918567,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,1.015625,1.05,1.125,5
10,38,18.561705262905477,58.42729279095935,16.84060855518808,0.13394059500597819,1.0528036494314519,2.876678117692259,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,1.015625,1.059375,1.125,5
10,39,18.561705262905477,58.42729279095935,16.84060855518808,0.1284046239975287,1.0467720416876094,2.921203301421513,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,1.015625,1.0625,1.125,4
