gamma,run,caa_risk,caa_return,caa_sharpe,aa_risk,aa_return,aa_sharpe,l1_weight_distance,n_communities,aa_raw_sum,caa_upper_raw_sum,caa_inner_raw_sum_min,caa_w_0,caa_w_1,caa_w_2,caa_w_3,caa_w_4,caa_w_5,caa_w_6,caa_w_7,caa_w_8,caa_w_9,caa_w_10,caa_w_11,caa_w_12,caa_w_13,caa_w_14,caa_w_15,caa_w_16,caa_w_17,caa_w_18,caa_w_19,aa_w_0,aa_w_1,aa_w_2,aa_w_3,aa_w_4,aa_w_5,aa_w_6,aa_w_7,aa_w_8,aa_w_9,aa_w_10,aa_w_11,aa_w_12,aa_w_13,aa_w_14,aa_w_15,aa_w_16,aa_w_17,aa_w_18,aa_w_19
8.0,20,0.059691473820803295,0.8304294414399633,3.3989641731732503,0.0552911101296205,0.8272150583468673,3.517959024515953,0.4399540757749713,4,1.046875,1.046875,0.984375,0.0,0.022043628013777267,0.001148105625717566,0.022043628013777267,0.5180252583237658,0.0,0.0,0.007577497129735935,0.05510907003444317,0.0,0.0991963260619977,0.0,0.0,0.0,0.09506314580941447,0.0,0.0,0.006199770378874857,0.0,0.17359357060849598,0.0,0.04477611940298507,0.0,0.014925373134328358,0.4626865671641791,0.0,0.0,0.13432835820895522,0.0,0.0,0.11940298507462686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22388059701492538
8.0,21,0.04906902335326338,0.7897264530689897,3.5651103627639618,0.05416067028957555,0.8218568896302603,3.531459133792123,0.23129755633596724,5,1.046875,1.0625,0.921875,0.0,0.05377524143985952,0.0,0.01633986928104575,0.47322212467076386,0.0,0.0027573529411764708,0.1935908691834943,0.04901960784313725,0.0,0.03758169934640523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17371323529411767,0.0,0.029850746268656716,0.0,0.029850746268656716,0.4626865671641791,0.0,0.0,0.16417910447761194,0.0,0.0,0.11940298507462686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19402985074626866
8.0,22,0.047563472967858664,0.7672802449497518,3.518173374275975,0.05368713217650983,0.819997808298631,3.5389757661802466,0.44155242377367054,5,1.046875,1.0625,0.9375,0.0,0.015406162464985995,0.0,0.023109243697478993,0.49864253393665164,0.0,0.0,0.11007130124777183,0.0718954248366013,0.0,0.051353874883286646,0.0,0.0,0.0,0.0,0.0,0.060180995475113123,0.029634581105169342,0.0,0.13970588235294118,0.0,0.029850746268656716,0.0,0.0,0.4626865671641791,0.0,0.0,0.14925373134328357,0.0,0.0,0.13432835820895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22388059701492538
8.0,23,0.053328164822349394,0.8118858697934418,3.515739299612297,0.05088047869372768,0.8061872307914778,3.574047505676844,0.18553386911595865,5,1.046875,1.046875,0.921875,0.0,0.021125143513203215,0.0,0.021125143513203215,0.4753157290470723,0.0,0.0,0.14246947082767977,0.03168771526980482,0.0,0.09506314580941447,0.04225028702640643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17096336499321574,0.0,0.029850746268656716,0.0,0.014925373134328358,0.4626865671641791,0.0,0.0,0.1791044776119403,0.0,0.0,0.1044776119402985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208955223880597
8.0,24,0.05860188753225553,0.8256398318463949,3.410631779633187,0.051226384800913696,0.8078252048379704,3.569197216778407,0.4613518943742824,5,1.046875,1.046875,0.90625,0.0,0.020988805970149255,0.0,0.020988805970149255,0.5247201492537313,0.0,0.0,0.046842709529276695,0.042709529276693456,0.0,0.10494402985074627,0.0,0.0,0.0,0.047037539574853,0.0,0.0,0.07236544549977386,0.0,0.11940298507462686,0.0,0.029850746268656716,0.0,0.014925373134328358,0.4626865671641791,0.0,0.0,0.14925373134328357,0.0,0.0,0.1044776119402985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23880597014925373
8.0,25,0.053825020930066386,0.7902041803720097,3.4060201991739154,0.053212312826758146,0.8173883128982221,3.5434177475690003,0.5406886024423337,5,1.046875,1.046875,0.984375,0.0,0.05074626865671642,0.0,0.023320895522388058,0.47286295793758476,0.0,0.1390773405698779,0.019674355495251015,0.046641791044776115,0.0,0.04430970149253731,0.034981343283582086,0.0,0.0,0.013568521031207597,0.0,0.0,0.011533242876526458,0.0,0.14328358208955225,0.0,0.04477611940298507,0.0,0.014925373134328358,0.4626865671641791,0.0,0.0,0.14925373134328357,0.0,0.0,0.1044776119402985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22388059701492538
8.0,26,0.054878535758554205,0.8126872190769984,3.4691427610380794,0.055123341611338215,0.8266597087120146,3.520943063523105,0.31756258889250655,5,1.046875,1.046875,0.890625,0.0,0.020665901262916193,0.0,0.020665901262916193,0.47531572904707237,0.0,0.0,0.11271998217865895,0.061997703788748575,0.0,0.09299655568312286,0.053909556694141235,0.0,0.0,0.024504343951882376,0.0,0.0,0.0,0.0,0.1372243261305413,0.0,0.029850746268656716,0.0,0.014925373134328358,0.4626865671641791,0.0,0.0,0.13432835820895522,0.0,0.0,0.13432835820895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22388059701492538
8.0,27,0.05758301878055381,0.8248822689417684,3.4375162032289364,0.055123341611338215,0.8266597087120146,3.520943063523105,0.30552460599102393,5,1.046875,1.046875,0.890625,0.003498134328358209,0.021584385763490244,0.0,0.021584385763490244,0.4964408725602756,0.0,0.0,0.030529172320217096,0.06475315729047072,0.0,0.09712973593570609,0.01582994120307553,0.0,0.0,0.018091361374943462,0.0,0.0,0.010176390773405698,0.0,0.22038246268656717,0.0,0.029850746268656716,0.0,0.014925373134328358,0.4626865671641791,0.0,0.0,0.13432835820895522,0.0,0.0,0.13432835820895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22388059701492538
8.0,28,0.059036584733046425,0.835661783374406,3.439298961704583,0.05395254970095021,0.8208333567128855,3.5338573139431753,0.269828812310434,5,1.046875,1.046875,0.953125,0.0,0.07796836711962575,0.0,0.028932261768082668,0.44362801377726757,0.0,0.0,0.12809088883938516,0.057864523536165335,0.0,0.09644087256027556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16707507239919805,0.0,0.029850746268656716,0.0,0.0,0.44776119402985076,0.0,0.0,0.16417910447761194,0.0,0.0,0.14925373134328357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208955223880597
8.0,29,0.05377243837778368,0.8005202550377847,3.4521722706399482,0.05492948764011889,0.8258407216887683,3.5236561327839153,0.4391677973767525,5,1.046875,1.046875,0.875,0.0,0.011985526910900044,0.0,0.04794210764360018,0.46743554952510175,0.0,0.0,0.01582994120307553,0.0,0.0,0.09588421528720036,0.03595658073270013,0.0,0.0,0.13184079601990048,0.0,0.0,0.014020805065581185,0.0,0.1791044776119403,0.0,0.029850746268656716,0.0,0.014925373134328358,0.4626865671641791,0.0,0.0,0.14925373134328357,0.0,0.0,0.13432835820895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208955223880597
